variable,project_id,RCM,domain,frequency,GCM,experiment_id,period_start,period_end,n_files,path2files
zg925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
sfcWindcan,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
wa700,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tauu,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tas,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
ua200,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
clt,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
tauv,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:30:00,2100-12-31 23:30:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
hus1000,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va925,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
snd,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
va50m,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
z0,I4C,WRF451I,EUR-12f,1hr,NorESM2-MM,ssp370,2080-01-01 00:00:00,2100-12-31 23:00:00,21,/gpfs/projects/meteo/WORK/ASNA/projects/impetus/03_I4C_projection/data/postprocessed/I4C/
